DistritoSanitario,Poblacion
Jaén (distrito),155623.0
Jaén Nordeste,114246.0
Jaén Norte,135205.0
Jaén Sur,75988.0
Jerez-Costa Noroeste,331002.0
Jiloca,13108.0
La Gomera,21734.0
La Jacetania,18266.0
La Litera / La Llitera,18733.0
La Palma,82642.0
La Ribagorza,12467.0
La Vega,63104.0
Lanzarote,156189.0
Levante-Alto Almanzora,55069.0
Los Monegros,18470.0
Maestrazgo,3213.0
Málaga (distrito),627195.0
Matarraña / Matarranya,8257.0
Metropolitano de Granada,229889.0
Poniente de Almería,248337.0
Ribera Alta Del Ebro,27431.0
Ribera Baja Del Ebro,8479.0
Serranía,35919.0
Sevilla (distrito),684234.0
Sevilla Este,108938.0
Sevilla Norte,164693.0
Sevilla Sur,399663.0
Sierra De Albarracín,4307.0
Sierra de Cádiz,72556.0
Sierra de Huelva-Andévalo Central,33839.0
Sobrarbe,7657.0
Somontano De Barbastro,23938.0
Tarazona Y El Moncayo,13781.0
Tenerife,769983.0
V,294053.0
Valdejalón,29697.0
Valle del Guadalhorce,134200.0
VI,48789.0
VII,58317.0
VIII,69372.0
